Split,Horizon,Method,LagSet,y_true,y_pred,Store
1,1,ARIMAX,-,75.0,80.0,Baltimore
1,2,ARIMAX,-,63.0,82.0,Baltimore
1,3,ARIMAX,-,80.0,106.0,Baltimore
1,4,ARIMAX,-,128.0,574.0,Baltimore
1,5,ARIMAX,-,95.0,467.0,Baltimore
1,6,ARIMAX,-,61.0,441.0,Baltimore
1,7,ARIMAX,-,73.0,57.0,Baltimore
1,1,VAR,-,75.0,-12.464739904802911,Baltimore
1,2,VAR,-,63.0,-71.60201535493329,Baltimore
1,3,VAR,-,80.0,120.33508038913445,Baltimore
1,4,VAR,-,128.0,170.9134446839088,Baltimore
1,5,VAR,-,95.0,245.88644653379194,Baltimore
1,6,VAR,-,61.0,163.96904414861675,Baltimore
1,7,VAR,-,73.0,120.86690464388214,Baltimore
1,1,RandomForest_MV,mv_lag7,75.0,71.93,Baltimore
1,2,RandomForest_MV,mv_lag7,63.0,72.77,Baltimore
1,3,RandomForest_MV,mv_lag7,80.0,84.42,Baltimore
1,4,RandomForest_MV,mv_lag7,128.0,142.73,Baltimore
1,5,RandomForest_MV,mv_lag7,95.0,104.44,Baltimore
1,6,RandomForest_MV,mv_lag7,61.0,118.73,Baltimore
1,7,RandomForest_MV,mv_lag7,73.0,59.15,Baltimore
1,1,XGBoost_MV,mv_lag7,75.0,70.7161865234375,Baltimore
1,2,XGBoost_MV,mv_lag7,63.0,66.37767791748047,Baltimore
1,3,XGBoost_MV,mv_lag7,80.0,70.19800567626953,Baltimore
1,4,XGBoost_MV,mv_lag7,128.0,140.77366638183594,Baltimore
1,5,XGBoost_MV,mv_lag7,95.0,82.6070785522461,Baltimore
1,6,XGBoost_MV,mv_lag7,61.0,115.25828552246094,Baltimore
1,7,XGBoost_MV,mv_lag7,73.0,51.15232849121094,Baltimore
1,1,LinearReg_MV,mv_lag7,75.0,72.57124251816573,Baltimore
1,2,LinearReg_MV,mv_lag7,63.0,72.53533480135094,Baltimore
1,3,LinearReg_MV,mv_lag7,80.0,86.14297765440017,Baltimore
1,4,LinearReg_MV,mv_lag7,128.0,137.4119533038218,Baltimore
1,5,LinearReg_MV,mv_lag7,95.0,120.47950665800403,Baltimore
1,6,LinearReg_MV,mv_lag7,61.0,133.89172582951977,Baltimore
1,7,LinearReg_MV,mv_lag7,73.0,66.07196695023161,Baltimore
1,1,RandomForest_MV,mv_lag14,75.0,71.09,Baltimore
1,2,RandomForest_MV,mv_lag14,63.0,79.74,Baltimore
1,3,RandomForest_MV,mv_lag14,80.0,89.59,Baltimore
1,4,RandomForest_MV,mv_lag14,128.0,143.51,Baltimore
1,5,RandomForest_MV,mv_lag14,95.0,109.58,Baltimore
1,6,RandomForest_MV,mv_lag14,61.0,79.33,Baltimore
1,7,RandomForest_MV,mv_lag14,73.0,60.81,Baltimore
1,1,XGBoost_MV,mv_lag14,75.0,71.58648681640625,Baltimore
1,2,XGBoost_MV,mv_lag14,63.0,79.54786682128906,Baltimore
1,3,XGBoost_MV,mv_lag14,80.0,86.38842010498047,Baltimore
1,4,XGBoost_MV,mv_lag14,128.0,169.01380920410156,Baltimore
1,5,XGBoost_MV,mv_lag14,95.0,107.64093017578125,Baltimore
1,6,XGBoost_MV,mv_lag14,61.0,70.24295806884766,Baltimore
1,7,XGBoost_MV,mv_lag14,73.0,57.89537811279297,Baltimore
1,1,LinearReg_MV,mv_lag14,75.0,70.10266887650934,Baltimore
1,2,LinearReg_MV,mv_lag14,63.0,70.54897387460896,Baltimore
1,3,LinearReg_MV,mv_lag14,80.0,81.16446030100005,Baltimore
1,4,LinearReg_MV,mv_lag14,128.0,133.39377336402362,Baltimore
1,5,LinearReg_MV,mv_lag14,95.0,117.23723831370702,Baltimore
1,6,LinearReg_MV,mv_lag14,61.0,126.86629281890514,Baltimore
1,7,LinearReg_MV,mv_lag14,73.0,59.87109907192284,Baltimore
2,1,ARIMAX,-,63.0,82.0,Baltimore
2,2,ARIMAX,-,80.0,106.0,Baltimore
2,3,ARIMAX,-,128.0,574.0,Baltimore
2,4,ARIMAX,-,95.0,467.0,Baltimore
2,5,ARIMAX,-,61.0,441.0,Baltimore
2,6,ARIMAX,-,73.0,57.0,Baltimore
2,7,ARIMAX,-,71.0,75.0,Baltimore
2,1,VAR,-,63.0,-13.555699813809952,Baltimore
2,2,VAR,-,80.0,157.5068449270154,Baltimore
2,3,VAR,-,128.0,149.18158398318616,Baltimore
2,4,VAR,-,95.0,225.68847638319488,Baltimore
2,5,VAR,-,61.0,142.98080100562262,Baltimore
2,6,VAR,-,73.0,129.9427254395456,Baltimore
2,7,VAR,-,71.0,68.75492314063561,Baltimore
2,1,RandomForest_MV,mv_lag7,63.0,72.27,Baltimore
2,2,RandomForest_MV,mv_lag7,80.0,90.0,Baltimore
2,3,RandomForest_MV,mv_lag7,128.0,146.68,Baltimore
2,4,RandomForest_MV,mv_lag7,95.0,106.52,Baltimore
2,5,RandomForest_MV,mv_lag7,61.0,126.39,Baltimore
2,6,RandomForest_MV,mv_lag7,73.0,59.57,Baltimore
2,7,RandomForest_MV,mv_lag7,71.0,67.44,Baltimore
2,1,XGBoost_MV,mv_lag7,63.0,69.62295532226562,Baltimore
2,2,XGBoost_MV,mv_lag7,80.0,74.4677734375,Baltimore
2,3,XGBoost_MV,mv_lag7,128.0,132.50709533691406,Baltimore
2,4,XGBoost_MV,mv_lag7,95.0,88.84024047851562,Baltimore
2,5,XGBoost_MV,mv_lag7,61.0,125.31607055664062,Baltimore
2,6,XGBoost_MV,mv_lag7,73.0,51.64025115966797,Baltimore
2,7,XGBoost_MV,mv_lag7,71.0,64.35186767578125,Baltimore
2,1,LinearReg_MV,mv_lag7,63.0,72.04876379795067,Baltimore
2,2,LinearReg_MV,mv_lag7,80.0,87.28562415028097,Baltimore
2,3,LinearReg_MV,mv_lag7,128.0,138.27880440207684,Baltimore
2,4,LinearReg_MV,mv_lag7,95.0,118.93392826474154,Baltimore
2,5,LinearReg_MV,mv_lag7,61.0,133.88952872297602,Baltimore
2,6,LinearReg_MV,mv_lag7,73.0,61.79984041189279,Baltimore
2,7,LinearReg_MV,mv_lag7,71.0,90.58316941932331,Baltimore
