Store,Method,LagSet,Horizon,Splits,MAE,RMSE,NMAE,Improvement_vs_SeasonalNaive7_pct
Baltimore,XGBoost_MV,mv_lag14,1,12,4.746,4.746,0.046,69.935
Baltimore,RandomForest_MV,mv_lag14,1,12,6.29,6.29,0.061,60.131
Baltimore,XGBoost_MV,mv_lag7,1,12,6.316,6.316,0.068,55.556
Baltimore,RandomForest_MV,mv_lag7,1,12,5.85,5.85,0.071,53.595
Baltimore,LinearReg_MV,mv_lag7,1,12,9.532,9.532,0.134,12.418
Baltimore,ARIMAX,-,1,12,13.0,13.0,0.153,0.0
Baltimore,LinearReg_MV,mv_lag14,1,12,17.634,17.634,0.213,-39.216
Baltimore,VAR,-,1,12,37.518,37.518,0.506,-230.719
Baltimore,XGBoost_MV,mv_lag7,2,12,9.315,9.315,0.097,36.601
Baltimore,RandomForest_MV,mv_lag14,2,12,11.715,11.715,0.114,25.49
Baltimore,RandomForest_MV,mv_lag7,2,12,9.885,9.885,0.118,22.876
Baltimore,XGBoost_MV,mv_lag14,2,12,11.731,11.731,0.148,3.268
Baltimore,ARIMAX,-,2,12,13.0,13.0,0.153,0.0
Baltimore,LinearReg_MV,mv_lag7,2,12,15.055,15.055,0.196,-28.105
Baltimore,LinearReg_MV,mv_lag14,2,12,18.13,18.13,0.221,-44.444
Baltimore,VAR,-,2,12,55.232,55.232,0.541,-253.595
Baltimore,RandomForest_MV,mv_lag7,3,12,6.74,6.74,0.084,20.0
Baltimore,RandomForest_MV,mv_lag14,3,12,8.22,8.22,0.092,12.381
Baltimore,XGBoost_MV,mv_lag14,3,12,8.629,8.629,0.098,6.667
Baltimore,ARIMAX,-,3,12,9.0,9.0,0.105,0.0
Baltimore,XGBoost_MV,mv_lag7,3,12,9.572,9.572,0.127,-20.952
Baltimore,LinearReg_MV,mv_lag7,3,12,11.259,11.259,0.139,-32.381
Baltimore,LinearReg_MV,mv_lag14,3,12,16.558,16.558,0.191,-81.905
Baltimore,VAR,-,3,12,45.258,45.258,0.629,-499.048
Baltimore,XGBoost_MV,mv_lag14,4,12,4.785,4.785,0.074,13.953
Baltimore,XGBoost_MV,mv_lag7,4,12,9.467,9.467,0.082,4.651
Baltimore,ARIMAX,-,4,12,7.0,7.0,0.086,0.0
Baltimore,RandomForest_MV,mv_lag7,4,12,9.125,9.125,0.1,-16.279
Baltimore,RandomForest_MV,mv_lag14,4,12,10.355,10.355,0.109,-26.744
Baltimore,LinearReg_MV,mv_lag7,4,12,11.365,11.365,0.148,-72.093
Baltimore,LinearReg_MV,mv_lag14,4,12,17.181,17.181,0.205,-138.372
Baltimore,VAR,-,4,12,41.477,41.477,0.537,-524.419
Baltimore,ARIMAX,-,5,12,5.0,5.0,0.073,0.0
Baltimore,RandomForest_MV,mv_lag7,5,12,7.85,7.85,0.083,-13.699
Baltimore,XGBoost_MV,mv_lag14,5,12,6.436,6.436,0.084,-15.068
Baltimore,RandomForest_MV,mv_lag14,5,12,7.135,7.135,0.097,-32.877
Baltimore,XGBoost_MV,mv_lag7,5,12,9.339,9.339,0.131,-79.452
Baltimore,LinearReg_MV,mv_lag14,5,12,18.812,18.812,0.212,-190.411
Baltimore,LinearReg_MV,mv_lag7,5,12,18.761,18.761,0.276,-278.082
Baltimore,VAR,-,5,12,37.986,37.986,0.548,-650.685
Baltimore,ARIMAX,-,6,12,5.0,5.0,0.073,0.0
Baltimore,RandomForest_MV,mv_lag7,6,12,5.91,5.91,0.073,0.0
Baltimore,RandomForest_MV,mv_lag14,6,12,6.0,6.0,0.076,-4.11
Baltimore,XGBoost_MV,mv_lag14,6,12,7.332,7.332,0.107,-46.575
Baltimore,XGBoost_MV,mv_lag7,6,12,7.935,7.935,0.11,-50.685
Baltimore,LinearReg_MV,mv_lag14,6,12,14.283,14.283,0.175,-139.726
Baltimore,LinearReg_MV,mv_lag7,6,12,16.022,16.022,0.212,-190.411
Baltimore,VAR,-,6,12,31.438,31.438,0.408,-458.904
Baltimore,ARIMAX,-,7,12,5.0,5.0,0.059,0.0
Baltimore,RandomForest_MV,mv_lag7,7,12,5.345,5.345,0.066,-11.864
Baltimore,RandomForest_MV,mv_lag14,7,12,5.89,5.89,0.074,-25.424
Baltimore,XGBoost_MV,mv_lag7,7,12,6.757,6.757,0.082,-38.983
Baltimore,LinearReg_MV,mv_lag14,7,12,12.785,12.785,0.132,-123.729
Baltimore,XGBoost_MV,mv_lag14,7,12,11.74,11.74,0.133,-125.424
Baltimore,LinearReg_MV,mv_lag7,7,12,19.449,19.449,0.202,-242.373
Baltimore,VAR,-,7,12,26.254,26.254,0.321,-444.068
Lancaster,XGBoost_MV,mv_lag14,1,12,6.349,6.349,0.067,56.494
Lancaster,RandomForest_MV,mv_lag14,1,12,7.24,7.24,0.068,55.844
Lancaster,RandomForest_MV,mv_lag7,1,12,6.31,6.31,0.077,50.0
Lancaster,XGBoost_MV,mv_lag7,1,12,15.864,15.864,0.151,1.948
Lancaster,ARIMAX,-,1,12,16.0,16.0,0.154,0.0
Lancaster,LinearReg_MV,mv_lag7,1,12,18.551,18.551,0.214,-38.961
Lancaster,LinearReg_MV,mv_lag14,1,12,32.022,32.022,0.322,-109.091
Lancaster,VAR,-,1,12,54.745,54.745,0.624,-305.195
Lancaster,XGBoost_MV,mv_lag7,2,12,8.462,8.462,0.107,30.519
Lancaster,RandomForest_MV,mv_lag14,2,12,12.905,12.905,0.126,18.182
Lancaster,RandomForest_MV,mv_lag7,2,12,14.37,14.37,0.127,17.532
Lancaster,XGBoost_MV,mv_lag14,2,12,13.196,13.196,0.131,14.935
Lancaster,ARIMAX,-,2,12,16.0,16.0,0.154,0.0
Lancaster,LinearReg_MV,mv_lag7,2,12,22.257,22.257,0.234,-51.948
Lancaster,LinearReg_MV,mv_lag14,2,12,26.246,26.246,0.259,-68.182
Lancaster,VAR,-,2,12,44.922,44.922,0.507,-229.221
Lancaster,XGBoost_MV,mv_lag14,3,12,8.716,8.716,0.078,33.898
Lancaster,RandomForest_MV,mv_lag14,3,12,7.75,7.75,0.103,12.712
Lancaster,RandomForest_MV,mv_lag7,3,12,9.86,9.86,0.112,5.085
Lancaster,ARIMAX,-,3,12,12.0,12.0,0.118,0.0
Lancaster,XGBoost_MV,mv_lag7,3,12,14.968,14.968,0.178,-50.847
Lancaster,LinearReg_MV,mv_lag7,3,12,22.475,22.475,0.198,-67.797
Lancaster,LinearReg_MV,mv_lag14,3,12,24.142,24.142,0.213,-80.508
Lancaster,VAR,-,3,12,65.009,65.009,0.786,-566.102
Lancaster,ARIMAX,-,4,12,9.0,9.0,0.088,0.0
Lancaster,RandomForest_MV,mv_lag14,4,12,8.42,8.42,0.102,-15.909
Lancaster,LinearReg_MV,mv_lag7,4,12,15.484,15.484,0.113,-28.409
Lancaster,RandomForest_MV,mv_lag7,4,12,11.125,11.125,0.13,-47.727
Lancaster,XGBoost_MV,mv_lag7,4,12,11.795,11.795,0.136,-54.545
Lancaster,XGBoost_MV,mv_lag14,4,12,13.46,13.46,0.153,-73.864
Lancaster,LinearReg_MV,mv_lag14,4,12,25.346,25.346,0.202,-129.545
Lancaster,VAR,-,4,12,47.298,47.298,0.559,-535.227
Lancaster,ARIMAX,-,5,12,6.5,6.5,0.081,0.0
Lancaster,RandomForest_MV,mv_lag7,5,12,7.18,7.18,0.083,-2.469
Lancaster,RandomForest_MV,mv_lag14,5,12,6.975,6.975,0.09,-11.111
Lancaster,XGBoost_MV,mv_lag14,5,12,9.721,9.721,0.12,-48.148
Lancaster,XGBoost_MV,mv_lag7,5,12,15.437,15.437,0.178,-119.753
Lancaster,LinearReg_MV,mv_lag14,5,12,25.19,25.19,0.206,-154.321
Lancaster,LinearReg_MV,mv_lag7,5,12,19.51,19.51,0.231,-185.185
Lancaster,VAR,-,5,12,46.359,46.359,0.566,-598.765
Lancaster,RandomForest_MV,mv_lag14,6,12,6.505,6.505,0.061,24.691
Lancaster,ARIMAX,-,6,12,6.5,6.5,0.081,0.0
Lancaster,RandomForest_MV,mv_lag7,6,12,7.19,7.19,0.084,-3.704
Lancaster,XGBoost_MV,mv_lag7,6,12,8.056,8.056,0.097,-19.753
Lancaster,XGBoost_MV,mv_lag14,6,12,8.113,8.113,0.098,-20.988
Lancaster,LinearReg_MV,mv_lag14,6,12,16.386,16.386,0.137,-69.136
Lancaster,LinearReg_MV,mv_lag7,6,12,17.626,17.626,0.179,-120.988
Lancaster,VAR,-,6,12,45.296,45.296,0.458,-465.432
Lancaster,XGBoost_MV,mv_lag14,7,12,6.615,6.615,0.073,1.351
Lancaster,ARIMAX,-,7,12,6.5,6.5,0.074,0.0
Lancaster,RandomForest_MV,mv_lag14,7,12,8.355,8.355,0.084,-13.514
Lancaster,RandomForest_MV,mv_lag7,7,12,10.685,10.685,0.087,-17.568
Lancaster,XGBoost_MV,mv_lag7,7,12,11.07,11.07,0.114,-54.054
Lancaster,LinearReg_MV,mv_lag14,7,12,14.637,14.637,0.124,-67.568
Lancaster,LinearReg_MV,mv_lag7,7,12,20.045,20.045,0.178,-140.541
Lancaster,VAR,-,7,12,39.271,39.271,0.381,-414.865
Philadelphia,RandomForest_MV,mv_lag7,1,12,18.53,18.53,0.091,42.767
Philadelphia,XGBoost_MV,mv_lag7,1,12,19.779,19.779,0.1,37.107
Philadelphia,RandomForest_MV,mv_lag14,1,12,25.815,25.815,0.138,13.208
Philadelphia,XGBoost_MV,mv_lag14,1,12,31.719,31.719,0.157,1.258
Philadelphia,ARIMAX,-,1,12,31.0,31.0,0.159,0.0
Philadelphia,LinearReg_MV,mv_lag7,1,12,49.572,49.572,0.261,-64.151
Philadelphia,LinearReg_MV,mv_lag14,1,12,63.678,63.678,0.316,-98.742
Philadelphia,VAR,-,1,12,62.762,62.762,0.378,-137.736
Philadelphia,RandomForest_MV,mv_lag7,2,12,12.445,12.445,0.084,47.17
Philadelphia,XGBoost_MV,mv_lag7,2,12,25.17,25.17,0.129,18.868
Philadelphia,ARIMAX,-,2,12,31.0,31.0,0.159,0.0
Philadelphia,RandomForest_MV,mv_lag14,2,12,29.83,29.83,0.16,-0.629
Philadelphia,XGBoost_MV,mv_lag14,2,12,41.556,41.556,0.229,-44.025
Philadelphia,LinearReg_MV,mv_lag7,2,12,53.241,53.241,0.252,-58.491
Philadelphia,LinearReg_MV,mv_lag14,2,12,52.946,52.946,0.311,-95.597
Philadelphia,VAR,-,2,12,116.852,116.852,0.604,-279.874
Philadelphia,RandomForest_MV,mv_lag7,3,12,16.035,16.035,0.067,37.383
Philadelphia,ARIMAX,-,3,12,21.0,21.0,0.107,0.0
Philadelphia,XGBoost_MV,mv_lag7,3,12,19.487,19.487,0.122,-14.019
Philadelphia,XGBoost_MV,mv_lag14,3,12,30.424,30.424,0.169,-57.944
Philadelphia,RandomForest_MV,mv_lag14,3,12,28.68,28.68,0.171,-59.813
Philadelphia,LinearReg_MV,mv_lag7,3,12,40.853,40.853,0.229,-114.019
Philadelphia,LinearReg_MV,mv_lag14,3,12,48.108,48.108,0.295,-175.701
Philadelphia,VAR,-,3,12,104.702,104.702,0.551,-414.953
Philadelphia,ARIMAX,-,4,12,17.0,17.0,0.092,0.0
Philadelphia,XGBoost_MV,mv_lag14,4,12,20.575,20.575,0.109,-18.478
Philadelphia,XGBoost_MV,mv_lag7,4,12,21.642,21.642,0.112,-21.739
Philadelphia,RandomForest_MV,mv_lag7,4,12,18.08,18.08,0.12,-30.435
Philadelphia,RandomForest_MV,mv_lag14,4,12,25.65,25.65,0.168,-82.609
Philadelphia,LinearReg_MV,mv_lag7,4,12,38.252,38.252,0.225,-144.565
Philadelphia,LinearReg_MV,mv_lag14,4,12,56.51,56.51,0.341,-270.652
Philadelphia,VAR,-,4,12,86.707,86.707,0.486,-428.261
Philadelphia,ARIMAX,-,5,12,13.0,13.0,0.076,0.0
Philadelphia,XGBoost_MV,mv_lag7,5,12,13.547,13.547,0.076,0.0
Philadelphia,RandomForest_MV,mv_lag7,5,12,25.625,25.625,0.137,-80.263
Philadelphia,XGBoost_MV,mv_lag14,5,12,24.897,24.897,0.148,-94.737
Philadelphia,RandomForest_MV,mv_lag14,5,12,38.815,38.815,0.245,-222.368
Philadelphia,LinearReg_MV,mv_lag7,5,12,49.275,49.275,0.279,-267.105
Philadelphia,LinearReg_MV,mv_lag14,5,12,59.736,59.736,0.356,-368.421
Philadelphia,VAR,-,5,12,71.238,71.238,0.463,-509.211
Philadelphia,ARIMAX,-,6,12,13.0,13.0,0.076,0.0
Philadelphia,RandomForest_MV,mv_lag7,6,12,16.745,16.745,0.103,-35.526
Philadelphia,XGBoost_MV,mv_lag7,6,12,22.258,22.258,0.14,-84.211
Philadelphia,XGBoost_MV,mv_lag14,6,12,22.233,22.233,0.144,-89.474
Philadelphia,RandomForest_MV,mv_lag14,6,12,22.995,22.995,0.151,-98.684
Philadelphia,LinearReg_MV,mv_lag7,6,12,41.994,41.994,0.228,-200.0
Philadelphia,VAR,-,6,12,54.343,54.343,0.323,-325.0
Philadelphia,LinearReg_MV,mv_lag14,6,12,53.019,53.019,0.329,-332.895
Philadelphia,RandomForest_MV,mv_lag7,7,12,11.755,11.755,0.064,3.03
Philadelphia,ARIMAX,-,7,12,13.0,13.0,0.066,0.0
Philadelphia,XGBoost_MV,mv_lag7,7,12,19.637,19.637,0.091,-37.879
Philadelphia,XGBoost_MV,mv_lag14,7,12,24.18,24.18,0.106,-60.606
Philadelphia,RandomForest_MV,mv_lag14,7,12,25.055,25.055,0.148,-124.242
Philadelphia,LinearReg_MV,mv_lag7,7,12,39.395,39.395,0.178,-169.697
Philadelphia,LinearReg_MV,mv_lag14,7,12,37.94,37.94,0.248,-275.758
Philadelphia,VAR,-,7,12,57.72,57.72,0.331,-401.515
Richmond,XGBoost_MV,mv_lag14,1,12,3.347,3.347,0.059,62.893
Richmond,RandomForest_MV,mv_lag7,1,12,4.06,4.06,0.073,54.088
Richmond,RandomForest_MV,mv_lag14,1,12,4.05,4.05,0.079,50.314
Richmond,XGBoost_MV,mv_lag7,1,12,6.8,6.8,0.135,15.094
Richmond,ARIMAX,-,1,12,8.5,8.5,0.159,0.0
Richmond,LinearReg_MV,mv_lag7,1,12,11.074,11.074,0.203,-27.673
Richmond,LinearReg_MV,mv_lag14,1,12,13.062,13.062,0.262,-64.78
Richmond,VAR,-,1,12,20.707,20.707,0.455,-186.164
Richmond,RandomForest_MV,mv_lag7,2,12,3.175,3.175,0.07,55.975
Richmond,XGBoost_MV,mv_lag14,2,12,5.158,5.158,0.082,48.428
Richmond,RandomForest_MV,mv_lag14,2,12,4.23,4.23,0.094,40.881
Richmond,XGBoost_MV,mv_lag7,2,12,8.101,8.101,0.131,17.61
Richmond,ARIMAX,-,2,12,8.5,8.5,0.159,0.0
Richmond,LinearReg_MV,mv_lag7,2,12,11.885,11.885,0.213,-33.962
Richmond,LinearReg_MV,mv_lag14,2,12,14.148,14.148,0.286,-79.874
Richmond,VAR,-,2,12,36.353,36.353,0.602,-278.616
Richmond,RandomForest_MV,mv_lag7,3,12,1.995,1.995,0.049,57.759
Richmond,RandomForest_MV,mv_lag14,3,12,4.05,4.05,0.062,46.552
Richmond,ARIMAX,-,3,12,6.0,6.0,0.116,0.0
Richmond,XGBoost_MV,mv_lag14,3,12,8.092,8.092,0.149,-28.448
Richmond,XGBoost_MV,mv_lag7,3,12,8.508,8.508,0.168,-44.828
Richmond,LinearReg_MV,mv_lag7,3,12,13.299,13.299,0.269,-131.897
Richmond,LinearReg_MV,mv_lag14,3,12,16.073,16.073,0.273,-135.345
Richmond,VAR,-,3,12,28.226,28.226,0.554,-377.586
Richmond,RandomForest_MV,mv_lag7,4,12,4.275,4.275,0.083,0.0
