Store,Method,LagSet,Horizon,Splits,MAE,RMSE,NMAE,Improvement_vs_SeasonalNaive7_pct
Baltimore,XGBoost,lag14,1,12,6.781,6.781,0.081,47.059
Baltimore,SeasonalNaive7,-,2,12,13.0,13.0,0.153,0.0
Baltimore,SeasonalNaive7,-,3,12,9.0,9.0,0.105,0.0
Baltimore,SeasonalNaive7,-,4,12,7.0,7.0,0.086,0.0
Baltimore,SeasonalNaive7,-,5,12,5.0,5.0,0.073,0.0
Baltimore,RandomForest,lag7,6,12,7.25,7.25,0.071,2.74
Baltimore,SeasonalNaive7,-,7,12,5.0,5.0,0.059,0.0
Lancaster,XGBoost,lag14,1,12,8.896,8.896,0.107,30.519
Lancaster,XGBoost,lag14,2,12,7.953,7.953,0.097,37.013
Lancaster,SeasonalNaive7,-,3,12,12.0,12.0,0.118,0.0
Lancaster,SeasonalNaive7,-,4,12,9.0,9.0,0.088,0.0
Lancaster,SeasonalNaive7,-,5,12,6.5,6.5,0.081,0.0
Lancaster,SeasonalNaive7,-,6,12,6.5,6.5,0.081,0.0
Lancaster,SeasonalNaive7,-,7,12,6.5,6.5,0.074,0.0
Philadelphia,XGBoost,lag14,1,12,25.463,25.463,0.117,26.415
Philadelphia,XGBoost,lag7,2,12,21.809,21.809,0.123,22.642
Philadelphia,SeasonalNaive7,-,3,12,21.0,21.0,0.107,0.0
Philadelphia,SeasonalNaive7,-,4,12,17.0,17.0,0.092,0.0
Philadelphia,SeasonalNaive7,-,5,12,13.0,13.0,0.076,0.0
Philadelphia,SeasonalNaive7,-,6,12,13.0,13.0,0.076,0.0
Philadelphia,SeasonalNaive7,-,7,12,13.0,13.0,0.066,0.0
Richmond,XGBoost,lag7,1,12,5.895,5.895,0.108,32.075
Richmond,SeasonalNaive7,-,2,12,8.5,8.5,0.159,0.0
Richmond,SeasonalNaive7,-,3,12,6.0,6.0,0.116,0.0
Richmond,SeasonalNaive7,-,4,12,5.0,5.0,0.083,0.0
Richmond,SeasonalNaive7,-,5,12,3.5,3.5,0.075,0.0
Richmond,SeasonalNaive7,-,6,12,3.5,3.5,0.075,0.0
Richmond,SeasonalNaive7,-,7,12,3.5,3.5,0.068,0.0
