Store,Method,LagSet,Horizon,Splits,MAE,RMSE,NMAE,Improvement_vs_SeasonalNaive7_pct
Baltimore,XGBoost,lag14,1,12,6.781,6.781,0.081,47.059
Baltimore,XGBoost,lag7,1,12,8.119,8.119,0.097,36.601
Baltimore,RandomForest,lag14,1,12,6.615,6.615,0.102,33.333
Baltimore,RandomForest,lag7,1,12,8.425,8.425,0.106,30.719
Baltimore,SeasonalNaive7,-,1,12,13.0,13.0,0.153,0.0
Baltimore,ARIMA,-,1,12,22.749,22.749,0.222,-45.098
Baltimore,ETS_HoltWinters,-,1,12,35.204,35.204,0.434,-183.66
Baltimore,SeasonalNaive7,-,2,12,13.0,13.0,0.153,0.0
Baltimore,XGBoost,lag14,2,12,17.819,17.819,0.213,-39.216
Baltimore,XGBoost,lag7,2,12,18.005,18.005,0.213,-39.216
Baltimore,RandomForest,lag7,2,12,19.88,19.88,0.27,-76.471
Baltimore,RandomForest,lag14,2,12,23.145,23.145,0.285,-86.275
Baltimore,ARIMA,-,2,12,29.657,29.657,0.402,-162.745
Baltimore,ETS_HoltWinters,-,2,12,41.147,41.147,0.578,-277.778
Baltimore,SeasonalNaive7,-,3,12,9.0,9.0,0.105,0.0
Baltimore,RandomForest,lag7,3,12,18.26,18.26,0.26,-147.619
Baltimore,XGBoost,lag7,3,12,18.058,18.058,0.275,-161.905
Baltimore,RandomForest,lag14,3,12,25.165,25.165,0.322,-206.667
Baltimore,XGBoost,lag14,3,12,24.831,24.831,0.362,-244.762
Baltimore,ARIMA,-,3,12,37.894,37.894,0.523,-398.095
Baltimore,ETS_HoltWinters,-,3,12,56.312,56.312,0.672,-540.0
Baltimore,SeasonalNaive7,-,4,12,7.0,7.0,0.086,0.0
Baltimore,RandomForest,lag14,4,12,18.825,18.825,0.208,-141.86
Baltimore,XGBoost,lag7,4,12,19.306,19.306,0.227,-163.953
Baltimore,RandomForest,lag7,4,12,25.955,25.955,0.339,-294.186
Baltimore,XGBoost,lag14,4,12,32.321,32.321,0.394,-358.14
Baltimore,ARIMA,-,4,12,45.032,45.032,0.626,-627.907
Baltimore,ETS_HoltWinters,-,4,12,48.448,48.448,0.684,-695.349
Baltimore,SeasonalNaive7,-,5,12,5.0,5.0,0.073,0.0
