Objective,ConstraintMode,Method,Split,Run,Profit,Units,HR,Feasible,Fitness
O1,NONE,MONTE_CARLO,1,1,27590,117564,1177,1,24600.0
O1,NONE,MONTE_CARLO,2,1,23945,91898,862,1,20955.0
O1,NONE,MONTE_CARLO,3,1,18638,67110,633,1,15648.0
O1,NONE,MONTE_CARLO,4,1,11910,51242,458,1,8920.0
O1,NONE,MONTE_CARLO,5,1,10557,51904,500,1,7567.0
O1,NONE,MONTE_CARLO,6,1,10089,45272,411,1,7099.0
O1,NONE,MONTE_CARLO,7,1,10971,49612,448,1,7981.0
O1,NONE,MONTE_CARLO,8,1,11169,49690,444,1,8179.0
O1,NONE,MONTE_CARLO,9,1,11257,49353,448,1,8267.0
O1,NONE,MONTE_CARLO,10,1,11868,50166,481,1,8878.0
O1,NONE,MONTE_CARLO,11,1,11401,42937,379,1,8411.0
O1,NONE,MONTE_CARLO,12,1,10561,41770,371,1,7571.0
O1,NONE,HILL_CLIMBING,1,1,29312,120465,1163,1,26322.0
O1,NONE,HILL_CLIMBING,2,1,26472,104246,878,1,23482.0
O1,NONE,HILL_CLIMBING,3,1,21347,79477,647,1,18357.0
O1,NONE,HILL_CLIMBING,4,1,13948,49160,441,1,10958.0
O1,NONE,HILL_CLIMBING,5,1,14820,52539,438,1,11830.0
O1,NONE,HILL_CLIMBING,6,1,14853,52672,463,1,11863.0
O1,NONE,HILL_CLIMBING,7,1,12851,52110,465,1,9861.0
O1,NONE,HILL_CLIMBING,8,1,13599,51707,465,1,10609.0
O1,NONE,HILL_CLIMBING,9,1,15724,55712,476,1,12734.0
O1,NONE,HILL_CLIMBING,10,1,13977,53579,460,1,10987.0
O1,NONE,HILL_CLIMBING,11,1,14362,56239,468,1,11372.0
O1,NONE,HILL_CLIMBING,12,1,14316,49412,435,1,11326.0
O1,NONE,SIMULATED_ANNEALING,1,1,27857,110812,950,1,24867.0
O1,NONE,SIMULATED_ANNEALING,2,1,32256,110120,947,1,29266.0
O1,NONE,SIMULATED_ANNEALING,3,1,21861,75007,656,1,18871.0
O1,NONE,SIMULATED_ANNEALING,4,1,14036,57468,503,1,11046.0
O1,NONE,SIMULATED_ANNEALING,5,1,14452,55077,487,1,11462.0
O1,NONE,SIMULATED_ANNEALING,6,1,12722,51921,490,1,9732.0
O1,NONE,SIMULATED_ANNEALING,7,1,14686,51756,449,1,11696.0
O1,NONE,SIMULATED_ANNEALING,8,1,12657,44547,386,1,9667.0
O1,NONE,SIMULATED_ANNEALING,9,1,13279,54602,497,1,10289.0
O1,NONE,SIMULATED_ANNEALING,10,1,13476,47782,421,1,10486.0
O1,NONE,SIMULATED_ANNEALING,11,1,14229,51078,444,1,11239.0
O1,NONE,SIMULATED_ANNEALING,12,1,13790,48181,411,1,10800.0
O1,NONE,GENETIC_ALGORITHM,1,1,33411,126766,1188,1,30421.0
O1,NONE,GENETIC_ALGORITHM,2,1,27305,107591,983,1,24315.0
O1,NONE,GENETIC_ALGORITHM,3,1,21135,70392,657,1,18145.0
O1,NONE,GENETIC_ALGORITHM,4,1,13251,51273,460,1,10261.0
O1,NONE,GENETIC_ALGORITHM,5,1,13585,50298,448,1,10595.0
O1,NONE,GENETIC_ALGORITHM,6,1,12818,48727,459,1,9828.0
O1,NONE,GENETIC_ALGORITHM,7,1,12154,45043,407,1,9164.0
O1,NONE,GENETIC_ALGORITHM,8,1,13705,49096,437,1,10715.0
O1,NONE,GENETIC_ALGORITHM,9,1,13921,48628,445,1,10931.0
O1,NONE,GENETIC_ALGORITHM,10,1,13097,50772,434,1,10107.0
O1,NONE,GENETIC_ALGORITHM,11,1,13189,50855,455,1,10199.0
O1,NONE,GENETIC_ALGORITHM,12,1,12885,46057,425,1,9895.0
O2,REPAIR,MONTE_CARLO,1,1,3175,9967,90,1,185.0
O2,REPAIR,MONTE_CARLO,2,1,3488,9702,88,1,498.0
O2,REPAIR,MONTE_CARLO,3,1,3803,9678,97,1,813.0
O2,REPAIR,MONTE_CARLO,4,1,3382,9901,95,1,392.0
O2,REPAIR,MONTE_CARLO,5,1,3339,9843,90,1,349.0
O2,REPAIR,MONTE_CARLO,6,1,3120,9892,90,1,130.0
O2,REPAIR,MONTE_CARLO,7,1,3176,9947,93,1,186.0
O2,REPAIR,MONTE_CARLO,8,1,3211,9957,92,1,221.0
O2,REPAIR,MONTE_CARLO,9,1,3230,9495,89,1,240.0
O2,REPAIR,MONTE_CARLO,10,1,3169,9982,93,1,179.0
