Objective,Method,Store,Date,Horizon,Pred_Customers,PR,X,J,Assisted_X,Assisted_J,Units_X,Units_J,Units_Total,Sales_X,Sales_J,HR_Cost_X,HR_Cost_J,Daily_Profit,Daily_HR_Total,IsWeekend
O1,SIMULATED_ANNEALING,Baltimore,2014-06-15,1,97,0.01,4,11,28,66,476,990,1466,504,1049,380,770,403,15,1
O1,SIMULATED_ANNEALING,Baltimore,2014-06-16,2,61,0.02,7,1,49,6,833,90,923,873,94,560,60,347,8,0
O1,SIMULATED_ANNEALING,Baltimore,2014-06-17,3,65,0.0,9,0,63,0,1071,0,1071,1146,0,720,0,426,9,0
O1,SIMULATED_ANNEALING,Baltimore,2014-06-18,4,71,0.0,10,1,70,1,1190,14,1204,1273,15,800,60,428,11,0
O1,SIMULATED_ANNEALING,Baltimore,2014-06-19,5,65,0.1,3,7,21,42,378,672,1050,364,647,240,420,351,10,0
O1,SIMULATED_ANNEALING,Baltimore,2014-06-20,6,89,0.01,10,3,70,18,1190,270,1460,1261,286,800,180,567,13,0
O1,SIMULATED_ANNEALING,Baltimore,2014-06-21,7,125,0.01,13,5,91,30,1547,450,1997,1639,477,1235,350,531,18,1
O1,SIMULATED_ANNEALING,Lancaster,2014-06-15,1,131,0.03,16,3,112,18,2016,270,2286,2092,280,1520,210,642,19,1
O1,SIMULATED_ANNEALING,Lancaster,2014-06-16,2,69,0.03,4,7,28,41,504,615,1119,523,638,320,420,421,11,0
O1,SIMULATED_ANNEALING,Lancaster,2014-06-17,3,84,0.0,7,6,49,35,833,525,1358,891,562,560,360,533,13,0
O1,SIMULATED_ANNEALING,Lancaster,2014-06-18,4,81,0.0,2,10,14,60,238,900,1138,255,963,160,600,458,12,0
O1,SIMULATED_ANNEALING,Lancaster,2014-06-19,5,90,0.06,11,1,77,6,1386,96,1482,1394,97,880,60,551,12,0
O1,SIMULATED_ANNEALING,Lancaster,2014-06-20,6,130,0.09,19,1,130,0,2470,0,2470,2405,0,1520,60,825,20,0
