Objective,ConstraintMode,Method,Run,Best_Fitness,Total_Units,Total_HR,Total_Profit,Feasible
O1,NONE,MONTE_CARLO,1,8528.0,49345,460,8528,1
O1,NONE,MONTE_CARLO,2,8551.0,51037,454,8551,1
O1,NONE,MONTE_CARLO,3,9014.0,48485,458,9014,1
O1,NONE,MONTE_CARLO,4,8862.0,49411,466,8862,1
O1,NONE,MONTE_CARLO,5,8411.0,51689,469,8411,1
O1,NONE,HILL_CLIMBING,1,8284.0,47775,421,8284,1
O1,NONE,HILL_CLIMBING,2,8363.0,48095,439,8363,1
O1,NONE,HILL_CLIMBING,3,8797.0,48814,437,8797,1
O1,NONE,HILL_CLIMBING,4,10315.0,50528,462,10315,1
O1,NONE,HILL_CLIMBING,5,11360.0,50984,457,11360,1
O1,NONE,SIMULATED_ANNEALING,1,14155.0,52023,472,14155,1
O1,NONE,SIMULATED_ANNEALING,2,14117.0,52681,475,14117,1
O1,NONE,SIMULATED_ANNEALING,3,14573.0,52144,469,14573,1
O1,NONE,SIMULATED_ANNEALING,4,14026.0,54317,478,14026,1
O1,NONE,SIMULATED_ANNEALING,5,13997.0,53108,469,13997,1
O1,NONE,GENETIC_ALGORITHM,1,11747.0,50539,449,11747,1
O1,NONE,GENETIC_ALGORITHM,2,12429.0,49803,455,12429,1
O1,NONE,GENETIC_ALGORITHM,3,12477.0,50297,444,12477,1
O1,NONE,GENETIC_ALGORITHM,4,12480.0,49102,461,12480,1
O1,NONE,GENETIC_ALGORITHM,5,12122.0,49163,454,12122,1
O2,REPAIR,MONTE_CARLO,1,1191.0,9966,101,1191,1
O2,REPAIR,MONTE_CARLO,2,1296.0,9933,99,1296,1
O2,REPAIR,MONTE_CARLO,3,1289.0,9924,101,1289,1
O2,REPAIR,MONTE_CARLO,4,1223.0,9977,98,1223,1
O2,REPAIR,MONTE_CARLO,5,1213.0,9984,99,1213,1
O2,REPAIR,HILL_CLIMBING,1,1443.0,9978,102,1443,1
O2,REPAIR,HILL_CLIMBING,2,1359.0,9981,100,1359,1
O2,REPAIR,HILL_CLIMBING,3,1239.0,10000,99,1239,1
O2,REPAIR,HILL_CLIMBING,4,1249.0,9990,96,1249,1
O2,REPAIR,HILL_CLIMBING,5,1415.0,9995,102,1415,1
O2,REPAIR,SIMULATED_ANNEALING,1,1392.0,9996,104,1392,1
O2,REPAIR,SIMULATED_ANNEALING,2,1375.0,9989,100,1375,1
O2,REPAIR,SIMULATED_ANNEALING,3,1279.0,9990,100,1279,1
O2,REPAIR,SIMULATED_ANNEALING,4,1372.0,9989,102,1372,1
O2,REPAIR,SIMULATED_ANNEALING,5,1356.0,9997,101,1356,1
O2,REPAIR,GENETIC_ALGORITHM,1,1047.0,9984,97,1047,1
O2,REPAIR,GENETIC_ALGORITHM,2,984.0,9987,92,984,1
O2,REPAIR,GENETIC_ALGORITHM,3,1039.0,9999,97,1039,1
O2,REPAIR,GENETIC_ALGORITHM,4,1005.0,9997,97,1005,1
O2,REPAIR,GENETIC_ALGORITHM,5,982.0,9972,92,982,1
O2,PENALTY,MONTE_CARLO,1,-1466.0,9991,98,-1466,1
O2,PENALTY,MONTE_CARLO,2,-1887.0,9967,101,-1887,1
O2,PENALTY,MONTE_CARLO,3,174.0,9951,98,174,1
O2,PENALTY,MONTE_CARLO,4,-470.0,9989,100,-470,1
O2,PENALTY,MONTE_CARLO,5,-1623.0,9964,107,-1623,1
O2,PENALTY,HILL_CLIMBING,1,876.0,9989,94,876,1
O2,PENALTY,HILL_CLIMBING,2,726.0,9975,92,726,1
O2,PENALTY,HILL_CLIMBING,3,-1541.64,10008,104,-1525,0
O2,PENALTY,HILL_CLIMBING,4,-1721.0,9925,103,-1721,1
O2,PENALTY,HILL_CLIMBING,5,-393.0,9993,100,-393,1
O2,PENALTY,SIMULATED_ANNEALING,1,223.0,9985,96,223,1
