Objective,ConstraintMode,Method,Median_Best_Fitness,Mean_Best_Fitness,Median_Profit,Median_Units,Median_HR,Feasible_Rate
O1,NONE,GENETIC_ALGORITHM,12407.0,12233.0,12407.0,50812.0,462.0,1.0
O1,NONE,HILL_CLIMBING,9703.0,9193.333333333334,9703.0,50322.0,459.0,1.0
O1,NONE,MONTE_CARLO,8830.0,8746.333333333334,8830.0,48413.0,440.0,1.0
O1,NONE,SIMULATED_ANNEALING,14155.0,14281.666666666666,14155.0,52144.0,472.0,1.0
O2,PENALTY,GENETIC_ALGORITHM,1051.0,1053.0,1051.0,9992.0,99.0,1.0
O2,PENALTY,HILL_CLIMBING,726.0,-12.0,726.0,9975.0,94.0,1.0
O2,PENALTY,MONTE_CARLO,-7272151.76,-7422267.723333334,4794.0,36876.0,356.0,0.0
O2,PENALTY,SIMULATED_ANNEALING,290.0,271.3333333333333,290.0,9985.0,93.0,1.0
O2,REPAIR,GENETIC_ALGORITHM,1406.0,1424.6666666666667,1406.0,9996.0,101.0,1.0
O2,REPAIR,HILL_CLIMBING,1225.0,1074.3333333333333,1225.0,9989.0,89.0,1.0
O2,REPAIR,MONTE_CARLO,1306.0,1283.6666666666667,1306.0,9954.0,101.0,1.0
O2,REPAIR,SIMULATED_ANNEALING,1354.0,1366.0,1354.0,9990.0,99.0,1.0
O3_PARETO,NONE,NSGA_II,1441.0,1438.3333333333333,1441.0,9996.0,98.0,1.0
O3_WEIGHTED,PENALTY,GENETIC_ALGORITHM,1.2931999999999997,1.2965333333333333,1123.0,9977.0,95.0,1.0
O3_WEIGHTED,REPAIR,GENETIC_ALGORITHM,1.7608,1.7107999999999999,1472.0,9990.0,100.0,1.0
