Objective,Method,Store,Date,Horizon,Pred_Customers,PR,X,J,Assisted_X,Assisted_J,Units_X,Units_J,Units_Total,Sales_X,Sales_J,HR_Cost_X,HR_Cost_J,Daily_Profit,Daily_HR_Total,IsWeekend
O1,MONTE_CARLO,Baltimore,2014-06-15,1,97,0.01,12,2,84,12,1428,180,1608,1513,191,1140,140,424,14,1
O1,MONTE_CARLO,Baltimore,2014-06-16,2,61,0.1,5,4,35,24,630,384,1014,607,370,400,240,337,9,0
O1,MONTE_CARLO,Baltimore,2014-06-17,3,65,0.17,1,10,7,58,133,986,1119,118,876,80,600,314,11,0
O1,MONTE_CARLO,Baltimore,2014-06-18,4,71,0.03,10,0,70,0,1190,0,1190,1235,0,800,0,435,10,0
O1,MONTE_CARLO,Baltimore,2014-06-19,5,65,0.08,6,4,42,23,756,345,1101,744,340,480,240,364,10,0
O1,MONTE_CARLO,Baltimore,2014-06-20,6,89,0.03,5,9,35,54,595,810,1405,618,841,400,540,519,14,0
O1,MONTE_CARLO,Baltimore,2014-06-21,7,125,0.03,10,9,70,54,1190,810,2000,1235,841,950,630,496,19,1
O1,MONTE_CARLO,Lancaster,2014-06-15,1,131,0.15,18,1,126,5,2520,85,2605,2292,77,1710,70,589,19,1
O1,MONTE_CARLO,Lancaster,2014-06-16,2,69,0.04,0,1,0,6,0,96,96,0,99,0,60,39,1,0
O1,MONTE_CARLO,Lancaster,2014-06-17,3,84,0.0,0,14,0,84,0,1260,1260,0,1348,0,840,508,14,0
O1,MONTE_CARLO,Lancaster,2014-06-18,4,81,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Lancaster,2014-06-19,5,90,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Lancaster,2014-06-20,6,130,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Lancaster,2014-06-21,7,144,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O1,MONTE_CARLO,Philadelphia,2014-06-15,1,223,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O1,MONTE_CARLO,Philadelphia,2014-06-16,2,149,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Philadelphia,2014-06-17,3,157,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Philadelphia,2014-06-18,4,165,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Philadelphia,2014-06-19,5,175,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Philadelphia,2014-06-20,6,232,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Philadelphia,2014-06-21,7,314,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O1,MONTE_CARLO,Richmond,2014-06-15,1,64,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O1,MONTE_CARLO,Richmond,2014-06-16,2,39,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Richmond,2014-06-17,3,41,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Richmond,2014-06-18,4,43,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Richmond,2014-06-19,5,46,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Richmond,2014-06-20,6,55,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O1,MONTE_CARLO,Richmond,2014-06-21,7,81,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,SIMULATED_ANNEALING,Baltimore,2014-06-15,1,97,0.1,1,2,7,12,126,192,318,121,185,95,140,71,3,1
O2,SIMULATED_ANNEALING,Baltimore,2014-06-16,2,61,0.02,2,2,14,12,238,180,418,250,189,160,120,159,4,0
O2,SIMULATED_ANNEALING,Baltimore,2014-06-17,3,65,0.02,1,4,7,24,119,360,479,125,377,80,240,182,5,0
O2,SIMULATED_ANNEALING,Baltimore,2014-06-18,4,71,0.1,1,2,7,12,126,192,318,121,185,80,120,106,3,0
O2,SIMULATED_ANNEALING,Baltimore,2014-06-19,5,65,0.03,1,2,7,12,119,180,299,124,187,80,120,111,3,0
O2,SIMULATED_ANNEALING,Baltimore,2014-06-20,6,89,0.02,2,2,14,12,238,180,418,250,189,160,120,159,4,0
O2,SIMULATED_ANNEALING,Baltimore,2014-06-21,7,125,0.02,1,2,7,12,119,180,299,125,189,95,140,79,3,1
O2,SIMULATED_ANNEALING,Lancaster,2014-06-15,1,131,0.09,2,1,14,6,266,96,362,259,93,190,70,92,3,1
O2,SIMULATED_ANNEALING,Lancaster,2014-06-16,2,69,0.04,1,2,7,12,126,192,318,129,197,80,120,126,3,0
O2,SIMULATED_ANNEALING,Lancaster,2014-06-17,3,84,0.15,2,0,14,0,280,0,280,255,0,160,0,95,2,0
O2,SIMULATED_ANNEALING,Lancaster,2014-06-18,4,81,0.01,2,2,14,12,238,180,418,252,191,160,120,163,4,0
O2,SIMULATED_ANNEALING,Lancaster,2014-06-19,5,90,0.0,2,2,14,12,238,180,418,255,193,160,120,168,4,0
O2,SIMULATED_ANNEALING,Lancaster,2014-06-20,6,130,0.13,1,2,7,12,133,204,337,124,190,80,120,114,3,0
O2,SIMULATED_ANNEALING,Lancaster,2014-06-21,7,144,0.04,1,2,7,12,126,192,318,129,197,95,140,91,3,1
O2,SIMULATED_ANNEALING,Philadelphia,2014-06-15,1,223,0.14,1,2,7,12,133,216,349,122,199,95,140,86,3,1
O2,SIMULATED_ANNEALING,Philadelphia,2014-06-16,2,149,0.02,1,2,7,12,119,192,311,125,201,80,120,126,3,0
O2,SIMULATED_ANNEALING,Philadelphia,2014-06-17,3,157,0.01,1,2,7,12,119,192,311,126,203,80,120,129,3,0
O2,SIMULATED_ANNEALING,Philadelphia,2014-06-18,4,165,0.01,2,2,14,12,238,192,430,252,203,160,120,175,4,0
O2,SIMULATED_ANNEALING,Philadelphia,2014-06-19,5,175,0.2,1,2,7,12,140,228,368,120,195,80,120,115,3,0
O2,SIMULATED_ANNEALING,Philadelphia,2014-06-20,6,232,0.08,1,2,7,12,126,204,330,124,201,80,120,125,3,0
O2,SIMULATED_ANNEALING,Philadelphia,2014-06-21,7,314,0.14,1,2,7,12,133,216,349,122,199,95,140,86,3,1
O2,SIMULATED_ANNEALING,Richmond,2014-06-15,1,64,0.08,1,2,7,12,133,216,349,131,213,95,140,109,3,1
O2,SIMULATED_ANNEALING,Richmond,2014-06-16,2,39,0.01,1,2,7,12,126,204,330,133,216,80,120,149,3,0
O2,SIMULATED_ANNEALING,Richmond,2014-06-17,3,41,0.0,1,2,7,12,126,204,330,135,218,80,120,153,3,0
O2,SIMULATED_ANNEALING,Richmond,2014-06-18,4,43,0.02,0,6,0,36,0,612,612,0,642,0,360,282,6,0
