Objective,ConstraintMode,Method,Run,Best_Fitness,Total_Units,Total_HR,Total_Profit,Feasible
O1,REPAIR,MONTE_CARLO,1,3351.0,9846,89,3351,1
O1,REPAIR,MONTE_CARLO,2,3365.0,9889,89,3365,1
O1,REPAIR,MONTE_CARLO,3,3462.0,9967,91,3462,1
O1,REPAIR,HILL_CLIMBING,1,3292.0,9915,87,3292,1
O1,REPAIR,HILL_CLIMBING,2,3284.0,9997,89,3284,1
O1,REPAIR,HILL_CLIMBING,3,3312.0,9995,89,3312,1
O1,REPAIR,SIMULATED_ANNEALING,1,3367.0,9991,91,3367,1
O1,REPAIR,SIMULATED_ANNEALING,2,3460.0,9991,91,3460,1
O1,REPAIR,SIMULATED_ANNEALING,3,3312.0,9986,89,3312,1
O1,PENALTY,MONTE_CARLO,1,4025.0,13398,121,4025,0
O1,PENALTY,MONTE_CARLO,2,3307.0,10604,102,3307,0
O1,PENALTY,MONTE_CARLO,3,2910.0,11871,104,2910,0
O1,PENALTY,HILL_CLIMBING,1,3031.0,11640,106,3031,0
O1,PENALTY,HILL_CLIMBING,2,3005.0,10387,92,3005,0
O1,PENALTY,HILL_CLIMBING,3,2772.0,10571,95,2772,0
O1,PENALTY,SIMULATED_ANNEALING,1,2872.0,10583,96,2872,0
O1,PENALTY,SIMULATED_ANNEALING,2,2912.0,10997,97,2912,0
O1,PENALTY,SIMULATED_ANNEALING,3,3448.0,12937,115,3448,0
O2,REPAIR,MONTE_CARLO,1,3359.0,9894,89,3359,1
O2,REPAIR,MONTE_CARLO,2,3389.0,9868,89,3389,1
O2,REPAIR,MONTE_CARLO,3,3355.0,9939,89,3355,1
O2,REPAIR,HILL_CLIMBING,1,3210.0,9974,86,3210,1
O2,REPAIR,HILL_CLIMBING,2,3280.0,9909,88,3280,1
O2,REPAIR,HILL_CLIMBING,3,3257.0,9992,88,3257,1
O2,REPAIR,SIMULATED_ANNEALING,1,3345.0,9908,88,3345,1
O2,REPAIR,SIMULATED_ANNEALING,2,3573.0,9992,91,3573,1
O2,REPAIR,SIMULATED_ANNEALING,3,3457.0,9988,90,3457,1
O2,PENALTY,MONTE_CARLO,1,3073.0,9982,93,3073,1
O2,PENALTY,MONTE_CARLO,2,3005.0,9964,88,3005,1
O2,PENALTY,MONTE_CARLO,3,2821.0,9954,84,2821,1
O2,PENALTY,HILL_CLIMBING,1,2746.0,9926,87,2746,1
O2,PENALTY,HILL_CLIMBING,2,2569.0,9934,86,2569,1
O2,PENALTY,HILL_CLIMBING,3,2751.0,9985,93,2751,1
O2,PENALTY,SIMULATED_ANNEALING,1,2749.0,9998,88,2749,1
O2,PENALTY,SIMULATED_ANNEALING,2,2818.0,9974,85,2818,1
O2,PENALTY,SIMULATED_ANNEALING,3,2944.0,9981,90,2944,1
O3_WEIGHTED,REPAIR,MONTE_CARLO,1,-311.00000000000045,9930,89,3370,1
O3_WEIGHTED,REPAIR,MONTE_CARLO,2,-320.80000000000064,9913,89,3356,1
O3_WEIGHTED,REPAIR,MONTE_CARLO,3,-227.80000000000064,9916,88,3446,1
O3_WEIGHTED,REPAIR,HILL_CLIMBING,1,-322.1000000000008,9599,83,3097,1
O3_WEIGHTED,REPAIR,HILL_CLIMBING,2,-257.30000000000064,9907,87,3361,1
O3_WEIGHTED,REPAIR,HILL_CLIMBING,3,-288.90000000000055,9799,86,3273,1
O3_WEIGHTED,REPAIR,SIMULATED_ANNEALING,1,-320.00000000000045,9363,83,3100,1
O3_WEIGHTED,REPAIR,SIMULATED_ANNEALING,2,-239.80000000000064,9294,80,3086,1
O3_WEIGHTED,REPAIR,SIMULATED_ANNEALING,3,-303.2000000000007,9576,83,3124,1
O3_WEIGHTED,PENALTY,MONTE_CARLO,1,-220.70000000000027,4678,40,1399,1
O3_WEIGHTED,PENALTY,MONTE_CARLO,2,-194.20000000000027,6808,60,2294,1
O3_WEIGHTED,PENALTY,MONTE_CARLO,3,-320.7000000000003,6490,55,1899,1
O3_WEIGHTED,PENALTY,HILL_CLIMBING,1,-331.10000000000036,6385,56,1927,1
