Objective,Method,Store,Date,Horizon,Pred_Customers,PR,X,J,Assisted_X,Assisted_J,Units_X,Units_J,Units_Total,Sales_X,Sales_J,HR_Cost_X,HR_Cost_J,Daily_Profit,Daily_HR_Total,IsWeekend
O1,GENETIC_ALGORITHM,Baltimore,2014-06-15,1,97,0.27,3,9,21,54,441,972,1413,344,759,285,630,188,12,1
O1,GENETIC_ALGORITHM,Baltimore,2014-06-16,2,61,0.08,0,10,0,60,0,900,900,0,886,0,600,286,10,0
O1,GENETIC_ALGORITHM,Baltimore,2014-06-17,3,65,0.2,1,10,7,58,140,986,1126,120,844,80,600,284,11,0
O1,GENETIC_ALGORITHM,Baltimore,2014-06-18,4,71,0.2,4,7,28,42,560,714,1274,479,611,320,420,350,11,0
O1,GENETIC_ALGORITHM,Baltimore,2014-06-19,5,65,0.2,5,1,35,6,700,102,802,599,87,400,60,226,6,0
O1,GENETIC_ALGORITHM,Baltimore,2014-06-20,6,89,0.07,10,3,70,18,1190,270,1460,1184,269,800,180,473,13,0
O1,GENETIC_ALGORITHM,Baltimore,2014-06-21,7,125,0.05,2,1,14,6,238,90,328,242,91,190,70,73,3,1
O1,GENETIC_ALGORITHM,Lancaster,2014-06-15,1,131,0.16,10,10,70,60,1400,1020,2420,1258,917,950,700,525,20,1
O1,GENETIC_ALGORITHM,Lancaster,2014-06-16,2,69,0.01,5,6,35,34,595,510,1105,630,540,400,360,410,11,0
O1,GENETIC_ALGORITHM,Lancaster,2014-06-17,3,84,0.07,3,10,21,60,378,960,1338,376,955,240,600,491,13,0
O1,GENETIC_ALGORITHM,Lancaster,2014-06-18,4,81,0.15,4,8,28,48,560,816,1376,509,742,320,480,451,12,0
O1,GENETIC_ALGORITHM,Lancaster,2014-06-19,5,90,0.21,11,0,77,0,1617,0,1617,1367,0,880,0,487,11,0
O1,GENETIC_ALGORITHM,Lancaster,2014-06-20,6,130,0.09,4,17,28,102,532,1632,2164,518,1589,320,1020,767,21,0
O1,GENETIC_ALGORITHM,Lancaster,2014-06-21,7,144,0.03,14,8,98,46,1764,690,2454,1831,716,1330,560,657,22,1
O1,GENETIC_ALGORITHM,Philadelphia,2014-06-15,1,223,0.09,16,19,112,111,2016,1887,3903,1963,1837,1520,1330,950,35,1
O1,GENETIC_ALGORITHM,Philadelphia,2014-06-16,2,149,0.0,6,17,42,102,714,1632,2346,764,1746,480,1020,1010,23,0
O1,GENETIC_ALGORITHM,Philadelphia,2014-06-17,3,157,0.0,9,20,63,94,1071,1504,2575,1146,1609,720,1200,835,29,0
O1,GENETIC_ALGORITHM,Philadelphia,2014-06-18,4,165,0.16,10,15,70,90,1330,1620,2950,1195,1456,800,900,951,25,0
O1,GENETIC_ALGORITHM,Philadelphia,2014-06-19,5,175,0.02,6,19,42,114,714,1824,2538,749,1913,480,1140,1042,25,0
O1,GENETIC_ALGORITHM,Philadelphia,2014-06-20,6,232,0.0,28,6,196,36,3332,576,3908,3565,616,2240,360,1581,34,0
O1,GENETIC_ALGORITHM,Philadelphia,2014-06-21,7,314,0.1,32,15,224,90,4032,1530,5562,3883,1473,3040,1050,1266,47,1
O1,GENETIC_ALGORITHM,Richmond,2014-06-15,1,64,0.06,1,8,7,48,133,816,949,134,821,95,560,300,9,1
O1,GENETIC_ALGORITHM,Richmond,2014-06-16,2,39,0.17,1,5,7,30,147,570,717,131,506,80,300,257,6,0
O1,GENETIC_ALGORITHM,Richmond,2014-06-17,3,41,0.05,3,0,21,0,399,0,399,406,0,240,0,166,3,0
O1,GENETIC_ALGORITHM,Richmond,2014-06-18,4,43,0.16,3,3,21,18,420,342,762,377,307,240,180,264,6,0
O1,GENETIC_ALGORITHM,Richmond,2014-06-19,5,46,0.0,1,8,7,39,126,663,789,135,709,80,480,284,9,0
O1,GENETIC_ALGORITHM,Richmond,2014-06-20,6,55,0.08,4,5,28,27,532,486,1018,524,478,320,300,382,9,0
O1,GENETIC_ALGORITHM,Richmond,2014-06-21,7,81,0.2,8,1,56,6,1176,120,1296,1007,103,760,70,280,9,1
O2,GENETIC_ALGORITHM,Baltimore,2014-06-15,1,97,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,GENETIC_ALGORITHM,Baltimore,2014-06-16,2,61,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,GENETIC_ALGORITHM,Baltimore,2014-06-17,3,65,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,GENETIC_ALGORITHM,Baltimore,2014-06-18,4,71,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,GENETIC_ALGORITHM,Baltimore,2014-06-19,5,65,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,GENETIC_ALGORITHM,Baltimore,2014-06-20,6,89,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,GENETIC_ALGORITHM,Baltimore,2014-06-21,7,125,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,GENETIC_ALGORITHM,Lancaster,2014-06-15,1,131,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,GENETIC_ALGORITHM,Lancaster,2014-06-16,2,69,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
