Objective,ConstraintMode,Method,Run,Best_Fitness,Total_Units,Total_HR,Total_Profit,Feasible
O1,NONE,MONTE_CARLO,1,8280.0,46538,426,8280,1
O1,NONE,MONTE_CARLO,2,8765.0,52179,451,8765,1
O1,NONE,MONTE_CARLO,3,8689.0,47606,430,8689,1
O1,NONE,HILL_CLIMBING,1,10671.0,49717,428,10671,1
O1,NONE,HILL_CLIMBING,2,9771.0,45570,394,9771,1
O1,NONE,HILL_CLIMBING,3,10300.0,48294,426,10300,1
O1,NONE,SIMULATED_ANNEALING,1,11353.0,48918,428,11353,1
O1,NONE,SIMULATED_ANNEALING,2,12225.0,53524,469,12225,1
O1,NONE,SIMULATED_ANNEALING,3,11460.0,49553,431,11460,1
O1,NONE,GENETIC_ALGORITHM,1,12246.0,49489,445,12246,1
O1,NONE,GENETIC_ALGORITHM,2,12152.0,53320,448,12152,1
O1,NONE,GENETIC_ALGORITHM,3,11729.0,48838,441,11729,1
O2,REPAIR,MONTE_CARLO,1,1277.0,9948,101,1277,1
O2,REPAIR,MONTE_CARLO,2,1260.0,9996,98,1260,1
O2,REPAIR,MONTE_CARLO,3,1284.0,9998,102,1284,1
O2,REPAIR,HILL_CLIMBING,1,581.0,9990,91,581,1
O2,REPAIR,HILL_CLIMBING,2,1140.0,9998,98,1140,1
O2,REPAIR,HILL_CLIMBING,3,814.0,9988,92,814,1
O2,REPAIR,SIMULATED_ANNEALING,1,744.0,9980,93,744,1
O2,REPAIR,SIMULATED_ANNEALING,2,1222.0,9993,99,1222,1
O2,REPAIR,SIMULATED_ANNEALING,3,1072.0,10000,93,1072,1
O2,REPAIR,GENETIC_ALGORITHM,1,1363.0,9996,103,1363,1
O2,REPAIR,GENETIC_ALGORITHM,2,1422.0,9997,102,1422,1
O2,REPAIR,GENETIC_ALGORITHM,3,1444.0,9996,103,1444,1
O2,PENALTY,MONTE_CARLO,1,1281.0,9998,99,1281,1
O2,PENALTY,MONTE_CARLO,2,1232.0,9932,100,1232,1
O2,PENALTY,MONTE_CARLO,3,1204.0,9925,101,1204,1
O2,PENALTY,HILL_CLIMBING,1,883.0,9994,96,883,1
O2,PENALTY,HILL_CLIMBING,2,707.0,10000,95,707,1
O2,PENALTY,HILL_CLIMBING,3,-607.0,9974,94,-607,1
O2,PENALTY,SIMULATED_ANNEALING,1,871.0,9993,94,871,1
O2,PENALTY,SIMULATED_ANNEALING,2,-627.0,9996,99,-627,1
O2,PENALTY,SIMULATED_ANNEALING,3,1143.0,9998,95,1143,1
O2,PENALTY,GENETIC_ALGORITHM,1,1126.99,10001,97,1129,0
O2,PENALTY,GENETIC_ALGORITHM,2,1128.0,9973,102,1128,1
O2,PENALTY,GENETIC_ALGORITHM,3,1220.0,9983,96,1220,1
O3_WEIGHTED,REPAIR,GENETIC_ALGORITHM,1,1.6439999999999997,9997,103,1395,1
O3_WEIGHTED,REPAIR,GENETIC_ALGORITHM,2,1.7116000000000002,9984,101,1439,1
O3_WEIGHTED,REPAIR,GENETIC_ALGORITHM,3,1.6723999999999997,9984,101,1411,1
O3_WEIGHTED,PENALTY,GENETIC_ALGORITHM,1,1.427,9993,96,1225,1
O3_WEIGHTED,PENALTY,GENETIC_ALGORITHM,2,1.2666,9966,93,1104,1
O3_WEIGHTED,PENALTY,GENETIC_ALGORITHM,3,1.4713999999999996,9940,98,1261,1
O3_PARETO,NONE,NSGA_II,1,1413.0,9987,100,1413,1
O3_PARETO,NONE,NSGA_II,2,1268.0,9996,99,1268,1
O3_PARETO,NONE,NSGA_II,3,1339.0,9996,93,1339,1
