Objective,ConstraintMode,Method,Median_Best_Fitness,Mean_Best_Fitness,Median_Profit,Median_Units,Median_HR,Feasible_Rate
O1,NONE,GENETIC_ALGORITHM,12152.0,12042.333333333334,12152.0,49489.0,445.0,1.0
O1,NONE,HILL_CLIMBING,10300.0,10247.333333333334,10300.0,48294.0,426.0,1.0
O1,NONE,MONTE_CARLO,8689.0,8578.0,8689.0,47606.0,430.0,1.0
O1,NONE,SIMULATED_ANNEALING,11460.0,11679.333333333334,11460.0,49553.0,431.0,1.0
O2,PENALTY,GENETIC_ALGORITHM,1128.0,1158.33,1129.0,9983.0,97.0,0.6666666666666666
O2,PENALTY,HILL_CLIMBING,707.0,327.6666666666667,707.0,9994.0,95.0,1.0
O2,PENALTY,MONTE_CARLO,1232.0,1239.0,1232.0,9932.0,100.0,1.0
O2,PENALTY,SIMULATED_ANNEALING,871.0,462.3333333333333,871.0,9996.0,95.0,1.0
O2,REPAIR,GENETIC_ALGORITHM,1422.0,1409.6666666666667,1422.0,9996.0,103.0,1.0
O2,REPAIR,HILL_CLIMBING,814.0,845.0,814.0,9990.0,92.0,1.0
O2,REPAIR,MONTE_CARLO,1277.0,1273.6666666666667,1277.0,9996.0,101.0,1.0
O2,REPAIR,SIMULATED_ANNEALING,1072.0,1012.6666666666666,1072.0,9993.0,93.0,1.0
O3_PARETO,NONE,NSGA_II,1339.0,1340.0,1339.0,9996.0,99.0,1.0
O3_WEIGHTED,PENALTY,GENETIC_ALGORITHM,1.427,1.388333333333333,1225.0,9966.0,96.0,1.0
O3_WEIGHTED,REPAIR,GENETIC_ALGORITHM,1.6723999999999997,1.676,1411.0,9984.0,101.0,1.0
