Store,Date,Customers,PR,X,J,Recalc_Units,Recalc_Sales,Recalc_Profit,CSV_Units,CSV_Sales,CSV_Profit,Match
Baltimore,2014-06-15,97,0.0206092106064031,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-16,61,0.0084878754746131,1,2,299,317,117,299,317,117,True
Baltimore,2014-06-17,65,0.0593353711623522,2,0,238,240,80,238,240,80,True
Baltimore,2014-06-18,71,0.01082306271393,2,2,418,443,163,418,443,163,True
Baltimore,2014-06-19,65,0.0696196153578401,0,2,180,179,59,180,179,59,True
Baltimore,2014-06-20,89,0.0073447785647907,0,2,180,191,71,180,191,71,True
Baltimore,2014-06-21,125,0.0536811935050869,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-15,131,0.0887566873817966,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-16,69,0.0368517618011927,0,2,192,198,78,192,198,78,True
Lancaster,2014-06-17,84,0.0171114147741058,4,2,684,719,279,684,719,279,True
Lancaster,2014-06-18,81,0.0170548468241285,5,0,630,663,263,630,663,263,True
Lancaster,2014-06-19,90,0.1023077484094449,3,1,495,475,175,495,475,175,True
Lancaster,2014-06-20,130,0.0315794162531984,3,2,570,591,231,570,591,231,True
Lancaster,2014-06-21,144,0.0361475365616693,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-15,223,0.0940225958009169,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-16,149,0.0659907944950031,0,4,408,408,168,408,408,168,True
Philadelphia,2014-06-17,157,0.0006514619105829,3,4,741,793,313,741,793,313,True
Philadelphia,2014-06-18,165,0.0161869529939725,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-19,175,0.0,3,4,741,793,313,741,793,313,True
Philadelphia,2014-06-20,232,0.0568993330378933,0,3,306,309,129,306,309,129,True
Philadelphia,2014-06-21,314,0.0434305003249271,0,0,0,0,0,0,0,0,True
Richmond,2014-06-15,64,0.01119284518063,0,4,408,432,152,408,432,152,True
Richmond,2014-06-16,39,0.0,1,5,636,681,301,636,681,301,True
Richmond,2014-06-17,41,0.0,1,5,636,681,301,636,681,301,True
Richmond,2014-06-18,43,0.0,2,4,660,707,307,660,707,307,True
Richmond,2014-06-19,46,0.0,2,4,660,707,307,660,707,307,True
Richmond,2014-06-20,55,0.0,3,4,786,841,361,786,841,361,True
Richmond,2014-06-21,81,0.0776231663478041,0,1,108,107,37,108,107,37,True
