Store,Date,Customers,PR,X,J,Recalc_Units,Recalc_Sales,Recalc_Profit,CSV_Units,CSV_Sales,CSV_Profit,Match
Baltimore,2014-06-15,97,0.3,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-16,61,0.0,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-17,65,0.3,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-18,71,0.02,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-19,65,0.29,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-20,89,0.01,0,5,450,477,177,450,477,177,True
Baltimore,2014-06-21,125,0.01,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-15,131,0.3,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-16,69,0.29,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-17,84,0.3,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-18,81,0.3,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-19,90,0.3,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-20,130,0.3,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-21,144,0.3,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-15,223,0.21,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-16,149,0.3,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-17,157,0.0,0,26,2496,2671,1111,2496,2671,1111,True
Philadelphia,2014-06-18,165,0.17,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-19,175,0.0,0,22,2112,2260,940,2112,2260,940,True
Philadelphia,2014-06-20,232,0.0,6,30,3594,3846,1566,3594,3846,1566,True
Philadelphia,2014-06-21,314,0.3,0,0,0,0,0,0,0,0,True
Richmond,2014-06-15,64,0.3,0,0,0,0,0,0,0,0,True
Richmond,2014-06-16,39,0.29,0,0,0,0,0,0,0,0,True
Richmond,2014-06-17,41,0.0,0,6,612,655,295,612,655,295,True
Richmond,2014-06-18,43,0.3,0,0,0,0,0,0,0,0,True
Richmond,2014-06-19,46,0.0,0,7,714,764,344,714,764,344,True
Richmond,2014-06-20,55,0.3,0,0,0,0,0,0,0,0,True
Richmond,2014-06-21,81,0.0,0,0,0,0,0,0,0,0,True
