Store,Date,Customers,PR,X,J,Recalc_Units,Recalc_Sales,Recalc_Profit,CSV_Units,CSV_Sales,CSV_Profit,Match
Baltimore,2014-06-15,97,0.25,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-16,61,0.03,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-17,65,0.14,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-18,71,0.18,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-19,65,0.03,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-20,89,0.14,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-21,125,0.23,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-15,131,0.25,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-16,69,0.23,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-17,84,0.09,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-18,81,0.02,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-19,90,0.02,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-20,130,0.06,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-21,144,0.23,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-15,223,0.02,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-16,149,0.0,0,23,2208,2363,983,2208,2363,983,True
Philadelphia,2014-06-17,157,0.0,0,23,2208,2363,983,2208,2363,983,True
Philadelphia,2014-06-18,165,0.0,0,23,2208,2363,983,2208,2363,983,True
Philadelphia,2014-06-19,175,0.0,0,16,1536,1644,684,1536,1644,684,True
Philadelphia,2014-06-20,232,0.25,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-21,314,0.23,0,0,0,0,0,0,0,0,True
Richmond,2014-06-15,64,0.24,0,0,0,0,0,0,0,0,True
Richmond,2014-06-16,39,0.0,0,6,612,655,295,612,655,295,True
Richmond,2014-06-17,41,0.01,0,6,612,648,288,612,648,288,True
Richmond,2014-06-18,43,0.04,0,0,0,0,0,0,0,0,True
Richmond,2014-06-19,46,0.01,0,6,612,648,288,612,648,288,True
Richmond,2014-06-20,55,0.04,0,0,0,0,0,0,0,0,True
Richmond,2014-06-21,81,0.04,0,0,0,0,0,0,0,0,True
