Store,Date,Customers,PR,X,J,Recalc_Units,Recalc_Sales,Recalc_Profit,CSV_Units,CSV_Sales,CSV_Profit,Match
Baltimore,2014-06-15,97,0.25,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-16,61,0.23,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-17,65,0.24,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-18,71,0.29,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-19,65,0.16,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-20,89,0.0,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-21,125,0.2,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-15,131,0.29,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-16,69,0.26,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-17,84,0.13,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-18,81,0.11,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-19,90,0.05,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-20,130,0.3,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-21,144,0.03,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-15,223,0.06,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-16,149,0.1,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-17,157,0.0,0,10,960,1027,427,960,1027,427,True
Philadelphia,2014-06-18,165,0.25,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-19,175,0.0,0,29,2784,2979,1239,2784,2979,1239,True
Philadelphia,2014-06-20,232,0.0,0,38,3648,3903,1623,3648,3903,1623,True
Philadelphia,2014-06-21,314,0.27,0,0,0,0,0,0,0,0,True
Richmond,2014-06-15,64,0.24,0,0,0,0,0,0,0,0,True
Richmond,2014-06-16,39,0.02,0,6,612,642,282,612,642,282,True
Richmond,2014-06-17,41,0.29,0,0,0,0,0,0,0,0,True
Richmond,2014-06-18,43,0.01,1,5,636,673,293,636,673,293,True
Richmond,2014-06-19,46,0.04,1,3,439,451,191,439,451,191,True
Richmond,2014-06-20,55,0.01,0,9,918,972,432,918,972,432,True
Richmond,2014-06-21,81,0.18,0,0,0,0,0,0,0,0,True
