Store,Method,LagSet,Horizon,Splits,MAE,RMSE,NMAE,Improvement_vs_SeasonalNaive7_pct
Baltimore,XGBoost_MV,mv_lag14,1,12,4.746,4.746,0.046,69.935
Baltimore,XGBoost_MV,mv_lag7,2,12,9.315,9.315,0.097,36.601
Baltimore,RandomForest_MV,mv_lag7,3,12,6.74,6.74,0.084,20.0
Baltimore,XGBoost_MV,mv_lag14,4,12,4.785,4.785,0.074,13.953
Baltimore,ARIMAX,-,5,12,5.0,5.0,0.073,0.0
Baltimore,ARIMAX,-,6,12,5.0,5.0,0.073,0.0
Baltimore,ARIMAX,-,7,12,5.0,5.0,0.059,0.0
Lancaster,XGBoost_MV,mv_lag14,1,12,6.349,6.349,0.067,56.494
Lancaster,XGBoost_MV,mv_lag7,2,12,8.462,8.462,0.107,30.519
Lancaster,XGBoost_MV,mv_lag14,3,12,8.716,8.716,0.078,33.898
Lancaster,ARIMAX,-,4,12,9.0,9.0,0.088,0.0
Lancaster,ARIMAX,-,5,12,6.5,6.5,0.081,0.0
Lancaster,RandomForest_MV,mv_lag14,6,12,6.505,6.505,0.061,24.691
Lancaster,XGBoost_MV,mv_lag14,7,12,6.615,6.615,0.073,1.351
Philadelphia,RandomForest_MV,mv_lag7,1,12,18.53,18.53,0.091,42.767
Philadelphia,RandomForest_MV,mv_lag7,2,12,12.445,12.445,0.084,47.17
Philadelphia,RandomForest_MV,mv_lag7,3,12,16.035,16.035,0.067,37.383
Philadelphia,ARIMAX,-,4,12,17.0,17.0,0.092,0.0
Philadelphia,ARIMAX,-,5,12,13.0,13.0,0.076,0.0
Philadelphia,ARIMAX,-,6,12,13.0,13.0,0.076,0.0
Philadelphia,RandomForest_MV,mv_lag7,7,12,11.755,11.755,0.064,3.03
Richmond,XGBoost_MV,mv_lag14,1,12,3.347,3.347,0.059,62.893
Richmond,RandomForest_MV,mv_lag7,2,12,3.175,3.175,0.07,55.975
Richmond,RandomForest_MV,mv_lag7,3,12,1.995,1.995,0.049,57.759
Richmond,RandomForest_MV,mv_lag7,4,12,4.275,4.275,0.083,0.0
Richmond,ARIMAX,-,5,12,3.5,3.5,0.075,0.0
Richmond,XGBoost_MV,mv_lag14,6,12,2.709,2.709,0.055,26.667
Richmond,RandomForest_MV,mv_lag7,7,12,3.355,3.355,0.065,4.412
