Store,ChosenMethod_H7,ChosenLagSet_H7,Horizon,ForecastDate,Pred_Num_Customers
Baltimore,ARIMAX,-,1,2014-06-15,97.0
Baltimore,ARIMAX,-,2,2014-06-16,61.0
Baltimore,ARIMAX,-,3,2014-06-17,65.0
Baltimore,ARIMAX,-,4,2014-06-18,71.0
Baltimore,ARIMAX,-,5,2014-06-19,65.0
Baltimore,ARIMAX,-,6,2014-06-20,89.0
Baltimore,ARIMAX,-,7,2014-06-21,125.0
Lancaster,XGBoost_MV,mv_lag14,1,2014-06-15,130.76
Lancaster,XGBoost_MV,mv_lag14,2,2014-06-16,69.23
Lancaster,XGBoost_MV,mv_lag14,3,2014-06-17,84.33
Lancaster,XGBoost_MV,mv_lag14,4,2014-06-18,80.95
Lancaster,XGBoost_MV,mv_lag14,5,2014-06-19,90.4
Lancaster,XGBoost_MV,mv_lag14,6,2014-06-20,129.56
Lancaster,XGBoost_MV,mv_lag14,7,2014-06-21,144.38
Philadelphia,RandomForest_MV,mv_lag7,1,2014-06-15,222.86
Philadelphia,RandomForest_MV,mv_lag7,2,2014-06-16,149.15
Philadelphia,RandomForest_MV,mv_lag7,3,2014-06-17,157.0
Philadelphia,RandomForest_MV,mv_lag7,4,2014-06-18,165.16
Philadelphia,RandomForest_MV,mv_lag7,5,2014-06-19,174.9
Philadelphia,RandomForest_MV,mv_lag7,6,2014-06-20,231.69
Philadelphia,RandomForest_MV,mv_lag7,7,2014-06-21,314.18
Richmond,RandomForest_MV,mv_lag7,1,2014-06-15,63.66
Richmond,RandomForest_MV,mv_lag7,2,2014-06-16,38.62
Richmond,RandomForest_MV,mv_lag7,3,2014-06-17,40.65
Richmond,RandomForest_MV,mv_lag7,4,2014-06-18,42.59
Richmond,RandomForest_MV,mv_lag7,5,2014-06-19,46.01
Richmond,RandomForest_MV,mv_lag7,6,2014-06-20,55.14
Richmond,RandomForest_MV,mv_lag7,7,2014-06-21,80.7
