Split,Horizon,Method,LagSet,y_true,y_pred,Store
1,1,SeasonalNaive7,-,75.0,80.0,Baltimore
1,2,SeasonalNaive7,-,63.0,82.0,Baltimore
1,3,SeasonalNaive7,-,80.0,106.0,Baltimore
1,4,SeasonalNaive7,-,128.0,574.0,Baltimore
1,5,SeasonalNaive7,-,95.0,467.0,Baltimore
1,6,SeasonalNaive7,-,61.0,441.0,Baltimore
1,7,SeasonalNaive7,-,73.0,57.0,Baltimore
1,1,ETS_HoltWinters,-,75.0,182.0207759033205,Baltimore
1,2,ETS_HoltWinters,-,63.0,189.48710125110927,Baltimore
1,3,ETS_HoltWinters,-,80.0,227.1671277579544,Baltimore
1,4,ETS_HoltWinters,-,128.0,320.7061043657077,Baltimore
1,5,ETS_HoltWinters,-,95.0,259.33784195392985,Baltimore
1,6,ETS_HoltWinters,-,61.0,211.11214133677493,Baltimore
1,7,ETS_HoltWinters,-,73.0,169.39055632964227,Baltimore
1,1,ARIMA,-,75.0,87.01361959492908,Baltimore
1,2,ARIMA,-,63.0,102.88007325258951,Baltimore
1,3,ARIMA,-,80.0,111.2677437524588,Baltimore
1,4,ARIMA,-,128.0,115.70181691917495,Baltimore
1,5,ARIMA,-,95.0,118.04585330545152,Baltimore
1,6,ARIMA,-,61.0,119.2850089020331,Baltimore
1,7,ARIMA,-,73.0,119.94007833761407,Baltimore
1,1,RandomForest,lag7,75.0,71.67,Baltimore
1,2,RandomForest,lag7,63.0,85.78,Baltimore
1,3,RandomForest,lag7,80.0,138.94,Baltimore
1,4,RandomForest,lag7,128.0,149.07,Baltimore
1,5,RandomForest,lag7,95.0,143.57,Baltimore
1,6,RandomForest,lag7,61.0,143.99,Baltimore
1,7,RandomForest,lag7,73.0,88.17,Baltimore
1,1,XGBoost,lag7,75.0,72.03234100341797,Baltimore
1,2,XGBoost,lag7,63.0,66.36557006835938,Baltimore
1,3,XGBoost,lag7,80.0,87.2349853515625,Baltimore
1,4,XGBoost,lag7,128.0,155.93312072753906,Baltimore
1,5,XGBoost,lag7,95.0,59.94137191772461,Baltimore
1,6,XGBoost,lag7,61.0,127.69305419921875,Baltimore
1,7,XGBoost,lag7,73.0,170.3756561279297,Baltimore
1,1,RandomForest,lag14,75.0,78.97,Baltimore
1,2,RandomForest,lag14,63.0,85.77,Baltimore
1,3,RandomForest,lag14,80.0,124.42,Baltimore
1,4,RandomForest,lag14,128.0,144.59,Baltimore
1,5,RandomForest,lag14,95.0,129.77,Baltimore
1,6,RandomForest,lag14,61.0,80.89,Baltimore
1,7,RandomForest,lag14,73.0,94.94,Baltimore
1,1,XGBoost,lag14,75.0,67.79403686523438,Baltimore
1,2,XGBoost,lag14,63.0,53.65768814086914,Baltimore
1,3,XGBoost,lag14,80.0,86.52992248535156,Baltimore
1,4,XGBoost,lag14,128.0,173.3926544189453,Baltimore
1,5,XGBoost,lag14,95.0,124.8275375366211,Baltimore
1,6,XGBoost,lag14,61.0,50.734344482421875,Baltimore
1,7,XGBoost,lag14,73.0,147.64979553222656,Baltimore
2,1,SeasonalNaive7,-,63.0,82.0,Baltimore
2,2,SeasonalNaive7,-,80.0,106.0,Baltimore
2,3,SeasonalNaive7,-,128.0,574.0,Baltimore
2,4,SeasonalNaive7,-,95.0,467.0,Baltimore
2,5,SeasonalNaive7,-,61.0,441.0,Baltimore
2,6,SeasonalNaive7,-,73.0,57.0,Baltimore
2,7,SeasonalNaive7,-,71.0,75.0,Baltimore
2,1,ETS_HoltWinters,-,63.0,117.17748716249852,Baltimore
2,2,ETS_HoltWinters,-,80.0,154.6320718464309,Baltimore
2,3,ETS_HoltWinters,-,128.0,248.4742844960031,Baltimore
2,4,ETS_HoltWinters,-,95.0,187.24485456769224,Baltimore
2,5,ETS_HoltWinters,-,61.0,139.05349354431075,Baltimore
2,6,ETS_HoltWinters,-,73.0,97.32896568525882,Baltimore
2,7,ETS_HoltWinters,-,71.0,109.44104602146558,Baltimore
2,1,ARIMA,-,63.0,96.41747580254116,Baltimore
2,2,ARIMA,-,80.0,107.740642033249,Baltimore
2,3,ARIMA,-,128.0,113.72706614178144,Baltimore
2,4,ARIMA,-,95.0,116.89201778843567,Baltimore
2,5,ARIMA,-,61.0,118.56529030372275,Baltimore
2,6,ARIMA,-,73.0,119.44992969888538,Baltimore
2,7,ARIMA,-,71.0,119.91762808771563,Baltimore
2,1,RandomForest,lag7,63.0,69.47,Baltimore
2,2,RandomForest,lag7,80.0,135.59,Baltimore
2,3,RandomForest,lag7,128.0,135.1,Baltimore
2,4,RandomForest,lag7,95.0,137.91,Baltimore
2,5,RandomForest,lag7,61.0,127.7,Baltimore
2,6,RandomForest,lag7,73.0,75.99,Baltimore
2,7,RandomForest,lag7,71.0,92.22,Baltimore
2,1,XGBoost,lag7,63.0,65.54762268066406,Baltimore
2,2,XGBoost,lag7,80.0,93.65925598144531,Baltimore
2,3,XGBoost,lag7,128.0,133.6449737548828,Baltimore
2,4,XGBoost,lag7,95.0,91.02587127685547,Baltimore
2,5,XGBoost,lag7,61.0,103.37120056152344,Baltimore
2,6,XGBoost,lag7,73.0,52.06558609008789,Baltimore
2,7,XGBoost,lag7,71.0,61.52640914916992,Baltimore
2,1,RandomForest,lag14,63.0,78.9,Baltimore
2,2,RandomForest,lag14,80.0,95.8,Baltimore
2,3,RandomForest,lag14,128.0,166.03,Baltimore
2,4,RandomForest,lag14,95.0,163.89,Baltimore
2,5,RandomForest,lag14,61.0,118.26,Baltimore
2,6,RandomForest,lag14,73.0,91.69,Baltimore
2,7,RandomForest,lag14,71.0,92.49,Baltimore
2,1,XGBoost,lag14,63.0,67.94316101074219,Baltimore
