Store,ChosenMethod_H7,ChosenLagSet_H7,Horizon,ForecastDate,Pred_Num_Customers
Baltimore,SeasonalNaive7,-,1,2014-06-15,97.0
Baltimore,SeasonalNaive7,-,2,2014-06-16,61.0
Baltimore,SeasonalNaive7,-,3,2014-06-17,65.0
Baltimore,SeasonalNaive7,-,4,2014-06-18,71.0
Baltimore,SeasonalNaive7,-,5,2014-06-19,65.0
Baltimore,SeasonalNaive7,-,6,2014-06-20,89.0
Baltimore,SeasonalNaive7,-,7,2014-06-21,125.0
Lancaster,SeasonalNaive7,-,1,2014-06-15,116.0
Lancaster,SeasonalNaive7,-,2,2014-06-16,72.0
Lancaster,SeasonalNaive7,-,3,2014-06-17,77.0
Lancaster,SeasonalNaive7,-,4,2014-06-18,84.0
Lancaster,SeasonalNaive7,-,5,2014-06-19,77.0
Lancaster,SeasonalNaive7,-,6,2014-06-20,106.0
Lancaster,SeasonalNaive7,-,7,2014-06-21,149.0
Philadelphia,SeasonalNaive7,-,1,2014-06-15,230.0
Philadelphia,SeasonalNaive7,-,2,2014-06-16,144.0
Philadelphia,SeasonalNaive7,-,3,2014-06-17,154.0
Philadelphia,SeasonalNaive7,-,4,2014-06-18,168.0
Philadelphia,SeasonalNaive7,-,5,2014-06-19,154.0
Philadelphia,SeasonalNaive7,-,6,2014-06-20,211.0
Philadelphia,SeasonalNaive7,-,7,2014-06-21,298.0
Richmond,SeasonalNaive7,-,1,2014-06-15,64.0
Richmond,SeasonalNaive7,-,2,2014-06-16,40.0
Richmond,SeasonalNaive7,-,3,2014-06-17,42.0
Richmond,SeasonalNaive7,-,4,2014-06-18,46.0
Richmond,SeasonalNaive7,-,5,2014-06-19,42.0
Richmond,SeasonalNaive7,-,6,2014-06-20,58.0
Richmond,SeasonalNaive7,-,7,2014-06-21,82.0
