Store,Date,Customers,PR,X,J,Recalc_Units,Recalc_Sales,Recalc_Profit,CSV_Units,CSV_Sales,CSV_Profit,Match
Baltimore,2014-06-15,97,0.095762830976472,0,2,192,186,46,192,186,46,True
Baltimore,2014-06-16,61,0.011204513266336,1,1,209,221,81,209,221,81,True
Baltimore,2014-06-17,65,0.1,1,1,222,213,73,222,213,73,True
Baltimore,2014-06-18,71,0.0089255856836722,0,3,270,286,106,270,286,106,True
Baltimore,2014-06-19,65,0.168564585359414,0,0,0,0,0,0,0,0,True
Baltimore,2014-06-20,89,0.0,5,0,595,637,237,595,637,237,True
Baltimore,2014-06-21,125,0.0,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-15,131,0.0879692059382574,0,0,0,0,0,0,0,0,True
Lancaster,2014-06-16,69,0.1121707554391448,0,3,306,291,111,306,291,111,True
Lancaster,2014-06-17,84,0.0382344105107926,2,3,540,555,215,540,555,215,True
Lancaster,2014-06-18,81,0.031996545343275,2,2,444,460,180,444,460,180,True
Lancaster,2014-06-19,90,0.0,3,2,537,575,215,537,575,215,True
Lancaster,2014-06-20,130,0.0152989662800314,4,0,504,531,211,504,531,211,True
Lancaster,2014-06-21,144,0.0328970990756481,1,0,126,130,35,126,130,35,True
Philadelphia,2014-06-15,223,0.1199057437087653,0,0,0,0,0,0,0,0,True
Philadelphia,2014-06-16,149,0.0561736404012068,1,7,833,841,341,833,841,341,True
Philadelphia,2014-06-17,157,0.0720386347668129,3,4,786,780,300,786,780,300,True
Philadelphia,2014-06-18,165,0.0,3,0,357,382,142,357,382,142,True
Philadelphia,2014-06-19,175,0.0709508913400203,3,1,480,477,177,480,477,177,True
Philadelphia,2014-06-20,232,0.0,2,1,334,358,138,334,358,138,True
Philadelphia,2014-06-21,314,0.0,0,0,0,0,0,0,0,0,True
Richmond,2014-06-15,64,0.0381458255888507,1,0,133,137,42,133,137,42,True
Richmond,2014-06-16,39,0.0428002238005328,3,1,501,513,213,501,513,213,True
Richmond,2014-06-17,41,0.1026803575075171,2,0,280,269,109,280,269,109,True
Richmond,2014-06-18,43,0.0,2,4,660,707,307,660,707,307,True
Richmond,2014-06-19,46,0.0,3,4,786,841,361,786,841,361,True
Richmond,2014-06-20,55,0.0,3,4,786,841,361,786,841,361,True
Richmond,2014-06-21,81,0.0849100712496487,0,1,108,106,36,108,106,36,True
